Mã ca kiểm thử,Tên ca kiểm thử,Loại kiểm thử,Kỹ thuật hộp đen áp dụng,Tiền điều kiện,Các bước thực hiện,Dữ liệu thử nghiệm,Kết quả mong đợi,Mức độ ưu tiên
TC_UC06_011,Tải file CV bằng thao tác kéo thả (Drag & Drop),Kiểm thử giao diện / Chức năng,Kiểm thử Use Case,Tại tab Upload CV,1. Kéo file CV.pdf từ máy tính vào Drop Zone; 2. Nhả chuột,CV.pdf,"Vùng kéo thả đổi hiệu ứng drag-over, tự động tiếp nhận file và bắt đầu xử lý",P2 - Trung bình
TC_UC06_012,Chọn file CV bằng cách nhấn chuột mở hộp thoại duyệt file,Kiểm thử giao diện / Chức năng,Kiểm thử Use Case,Tại tab Upload CV,1. Nhấn nút Chọn tệp; 2. Chọn file từ File Explorer; 3. Nhấn Open,CV.pdf,"Hộp thoại mở đúng định dạng cho phép, chọn file và tiếp nhận xử lý",P2 - Trung bình
TC_UC06_013,Upload file dung lượng nhỏ nhất hợp lệ (1 KB),Kiểm thử biên,Phân tích giá trị biên (Biên dưới),Tại tab Upload CV,1. Chọn file cv_minimal.pdf dung lượng 1 KB; 2. Tải lên,cv_minimal.pdf (1 KB),"Hệ thống chấp nhận file, trích xuất dữ liệu bình thường, không báo lỗi",P2 - Trung bình
TC_UC06_014,Upload file dung lượng cận biên trên hợp lệ (9.9 MB),Kiểm thử biên,Phân tích giá trị biên,Tại tab Upload CV,1. Chọn file cv_large.pdf dung lượng 9.9 MB; 2. Tải lên,cv_large.pdf (9.9 MB),"Upload thành công, tiến trình OCR xử lý bình thường",P1 - Cao
TC_UC06_015,Upload file dung lượng chính xác bằng ngưỡng tối đa (10.0 MB),Kiểm thử biên,Phân tích giá trị biên (Biên trên),Tại tab Upload CV,"1. Chọn file PDF dung lượng đúng 10,485,760 bytes (10.0 MB); 2. Tải lên",File đúng 10.0 MB,"Hệ thống chấp nhận file, không kích hoạt lỗi EX_01",P1 - Cao
TC_UC06_016,Upload file dung lượng vượt biên trên tối thiểu (10.01 MB),Kiểm thử biên / Ca sai,Phân tích giá trị biên (Vượt biên),Tại tab Upload CV,"1. Chọn file cv_over.pdf dung lượng 10.01 MB (10,500,000 bytes); 2. Tải lên",cv_over.pdf (10.01 MB),"Chặn ngay tại Client, báo lỗi EX_01: Định dạng file không hỗ trợ hoặc dung lượng quá lớn",P1 - Cao
TC_UC06_017,Upload file dung lượng cực lớn (50 MB),Kiểm thử biên / Ca sai,Phân vùng tương đương_S3,Tại tab Upload CV,1. Chọn file document_50MB.pdf; 2. Tải lên,document_50MB.pdf (50 MB),"Lập tức hiển thị lỗi EX_01, không bị treo ứng dụng, yêu cầu chọn file khác",P2 - Trung bình
TC_UC06_018,Upload file rỗng dung lượng 0 Byte,Kiểm thử biên / Ca sai,Phân tích giá trị biên (Điểm 0),Tại tab Upload CV,1. Chọn file empty.pdf dung lượng 0 Byte; 2. Tải lên,empty.pdf (0 Byte),"Báo lỗi file không hợp lệ hoặc rỗng, yêu cầu chọn file khác",P2 - Trung bình
TC_UC06_019,Upload file tài liệu định dạng không hỗ trợ (.txt / .xlsx),Kiểm thử ca sai,Phân vùng tương đương_F5,Tại tab Upload CV,1. Chọn file cv.txt hoặc bang_luong.xlsx; 2. Tải lên,cv.txt / bang_luong.xlsx,"Từ chối nhận file, báo lỗi EX_01: Định dạng file không hỗ trợ hoặc dung lượng quá lớn",P2 - Trung bình
TC_UC06_020,Upload file thực thi nguy hại (.exe / .bat / .sh),Kiểm thử bảo mật,Phân vùng tương đương_F4,Tại tab Upload CV,1. Chọn file malware.exe hoặc test.bat; 2. Tải lên,malware.exe,"Chặn tuyệt đối từ hộp thoại file và drop zone, hiển thị lỗi EX_01",P1 - Cao
TC_UC06_021,Upload file giả mạo định dạng kép (candidate_cv.pdf.exe),Kiểm thử bảo mật,Đoán lỗi,Tại tab Upload CV,1. Đổi tên file exe thành candidate_cv.pdf.exe; 2. Tải lên,candidate_cv.pdf.exe,"Nhận diện đúng đuôi file cuối là .exe, từ chối tải lên và cảnh báo bảo mật",P1 - Cao
TC_UC06_022,Tải lên file không có phần mở rộng,Negative / Edge Case,Phân vùng tương đương_F6,Tại tab Upload CV,1. Chọn file my_resume không có đuôi; 2. Tải lên,my_resume,"Hệ thống từ chối nhận file, báo lỗi định dạng không hỗ trợ",P3 - Thấp
TC_UC06_023,[EX_01] Hiển thị đúng câu thông báo lỗi khi file vượt 10MB,Kiểm thử giao diện / Nội dung,Kiểm thử Use Case EX_01,Tại tab Upload CV,1. Tải lên file 12 MB; 2. Đọc chuỗi thông báo lỗi,File 12 MB,Hiển thị chính xác chuỗi: Định dạng file không hỗ trợ hoặc dung lượng quá lớn,P1 - Cao
TC_UC06_024,[EX_01] Hiển thị đúng câu thông báo lỗi khi tải file .zip,Kiểm thử ca sai / Chức năng,Kiểm thử Use Case EX_01,Tại tab Upload CV,1. Tải lên file archive_cv.zip; 2. Đọc thông báo lỗi,archive_cv.zip,Hiển thị đúng chuỗi: Định dạng file không hỗ trợ hoặc dung lượng quá lớn,P2 - Trung bình
TC_UC06_025,[EX_02] Quá trình AI phân tích DOM bị Timeout quá 10 giây,Kiểm thử hiệu năng / Ngoại lệ,Kiểm thử Use Case EX_02 / Phân tích giá trị biên,Mock server AI phản hồi trễ > 10s,"1. Tại LinkedIn, bấm Quét; 2. Đếm thời gian quá 10s",LinkedIn profile URL,"Tại giây thứ 10 ngắt request, báo lỗi: Kết nối đến máy chủ AI bị gián đoạn, mở Form trống cho nhập tay",P1 - Cao
TC_UC06_026,[EX_02] Quá trình OCR/LLM xử lý file CV bị Timeout quá 10 giây,Kiểm thử hiệu năng / Ngoại lệ,Kiểm thử Use Case EX_02,Server OCR/LLM phản hồi chậm > 10s,1. Upload CV; 2. Đếm thời gian quá 10s,CV.pdf,"Hiển thị: Kết nối đến máy chủ AI bị gián đoạn, mở Form trống cho nhập tay",P1 - Cao
TC_UC06_027,[EX_02] Lưu hồ sơ từ Form trống sau khi bị gián đoạn AI,Kiểm thử chức năng / Toàn trình,Kiểm thử Use Case EX_02 Fallback,Form trống mở ra sau lỗi timeout EX_02,"1. Tự gõ Họ tên, Email, SĐT, Kỹ năng vào Form trống; 2. Bấm Lưu hồ sơ",Dữ liệu gõ tay,"Lưu dữ liệu nhập tay thành công vào CSDL, hiển thị thông báo Lưu hồ sơ thành công",P2 - Trung bình
TC_UC06_028,[EX_03] Nhấn nút Quét trên website không được hỗ trợ,Kiểm thử ngoại lệ,Kiểm thử Use Case EX_03 / Phân vùng tương đương_W4,Mở tab vnexpress.net hoặc facebook.com,1. Mở Extension; 2. Nhấn nút Quét,vnexpress.net,Hiển thị đúng chuỗi: Extension chưa hỗ trợ cấu trúc trang web này. Vui lòng nhập tay hoặc Upload file,P1 - Cao
TC_UC06_029,[EX_03] Nhấn nút Quét trên domain LinkedIn nhưng sai trang,Kiểm thử biên / Ngoại lệ,Phân vùng tương đương_W5,Mở trang linkedin.com/feed/,1. Mở Extension; 2. Nhấn nút Quét,linkedin.com/feed/,"Cảnh báo trang hiện tại không phải profile ứng viên, đề xuất vào đúng trang hoặc upload CV",P2 - Trung bình
TC_UC06_030,Thao tác khi chưa đăng nhập Extension,Kiểm thử bảo mật / Chức năng,Phân vùng tương đương_A2,Chưa đăng nhập Extension,1. Mở Extension; 2. Bấm Quét hoặc tab Upload CV,N/A,"Khóa tính năng, chuyển hướng về màn hình Đăng nhập kèm thông báo yêu cầu đăng nhập",P1 - Cao
TC_UC06_031,Phiên đăng nhập hết hạn trong lúc lưu hồ sơ,Kiểm thử bảo mật / Phiên làm việc,Phân vùng tương đương_A3,"Form Preview đang mở, token hết hạn (401)",1. Bấm Lưu hồ sơ,N/A,"Báo lỗi phiên đăng nhập hết hạn, giữ nguyên dữ liệu trên Form, mở popup login lại",P2 - Trung bình
TC_UC06_032,Mất kết nối Internet hoàn toàn trước khi Quét,Kiểm thử mạng / Độ tin cậy,Phân vùng tương đương_N2,Thiết bị ngắt mạng hoàn toàn,1. Mở Extension; 2. Bấm Quét,N/A,"Phát hiện offline ngay lập tức, thông báo: Không có kết nối Internet",P2 - Trung bình
TC_UC06_033,Mất kết nối Internet đột ngột trong khi đang nhấn Lưu hồ sơ,Kiểm thử mạng / Toàn vẹn dữ liệu,Phân vùng tương đương_N3 / Đoán lỗi,Form Preview đang mở,1. Bấm Lưu hồ sơ; 2. Ngắt mạng đúng lúc gửi request,N/A,"Báo lưu thất bại do mất mạng, Form giữ nguyên dữ liệu không bị đóng/xóa trắng để người dùng retry",P2 - Trung bình
TC_UC06_034,Tải lên tệp PDF bị khóa mật khẩu,Negative / Security,Đoán lỗi,Tại tab Upload CV,1. Chọn file cv_encrypted.pdf có mật khẩu; 2. Tải lên,cv_encrypted.pdf,"Bắt được lỗi mã hóa, thông báo: Tệp tin được bảo vệ bằng mật khẩu, vui lòng gỡ mật khẩu hoặc nhập tay",P2 - Trung bình
TC_UC06_035,Tải lên tệp CV toàn ảnh trắng hoặc chữ quá mờ không thể OCR,Negative / Edge Case,Đoán lỗi,Tại tab Upload CV,1. Chọn file ảnh scan trắng tinh hoặc đen thui; 2. Tải lên,blank_scan.jpg,"Thông báo không thể nhận diện nội dung văn bản từ tệp, mở Form trống cho nhập tay",P3 - Thấp
TC_UC06_036,Dữ liệu trên web hoặc trong CV chứa mã độc tấn công XSS,Kiểm thử bảo mật,Đoán lỗi / Bảo mật,Trang web hoặc CV chứa payload XSS,1. Quét profile có tên: <script>alert(1)</script>; 2. Xem Form và Lưu; 3. Xem Dashboard,<script>alert(1)</script>,"Chuỗi được escape/encode an toàn thành &lt;script&gt;, không bị thực thi script",P1 - Cao
TC_UC06_037,Trích xuất ứng viên đã tồn tại trong CSDL (Trùng Email/SĐT),Kiểm thử chức năng / Nghiệp vụ,Đoán lỗi,Email nguyenvana@gmail.com đã có trong DB,1. Bấm Lưu hồ sơ cho ứng viên trùng email,nguyenvana@gmail.com,"Cảnh báo ứng viên đã tồn tại, hiển thị tùy chọn: Cập nhật thông tin mới hoặc Hủy",P2 - Trung bình
TC_UC06_038,Kéo thả đồng thời nhiều file (> 1 file) vào Drag & Drop Zone,UI/UX / Boundary,Đoán lỗi,Tại tab Upload CV,1. Chọn cùng lúc 3 file CV; 2. Kéo thả vào Drop Zone,3 file CV cùng lúc,"Từ chối hoặc chỉ nhận file đầu tiên, thông báo: Hệ thống chỉ hỗ trợ xử lý 1 file CV mỗi lần",P3 - Thấp
TC_UC07_001,Hiển thị mặc định trang Danh sách ứng viên,Kiểm thử chức năng / Giao diện,Kiểm thử Use Case,"Đã login, CSDL có 15 ứng viên",1. Vào menu Danh sách ứng viên; 2. Quan sát các cột và phân trang,N/A,"Bảng hiển thị đủ 5 cột tóm tắt, phân trang 10/trang ở cuối bảng",P1 - Cao
TC_UC07_002,Chuyển tiếp giữa các trang,Kiểm thử chức năng,Phân tích giá trị biên / Phân vùng tương đương,CSDL có 25 hồ sơ (3 trang),1. Tại trang 1 bấm Next (>); 2. Quan sát trang 2; 3. Bấm Previous (<),N/A,"Chuyển trang chính xác 11-20, quay lại đúng 1-10, nút active đúng trang",P2 - Trung bình
TC_UC07_003,Trạng thái nút phân trang tại trang đầu và trang cuối,Kiểm thử biên / Giao diện,Phân tích giá trị biên,Đang ở trang 1 hoặc trang cuối,1. Kiểm tra nút Previous ở trang 1; 2. Chuyển sang trang cuối kiểm tra nút Next,N/A,"Previous disable ở trang 1, Next disable ở trang cuối cùng",P3 - Thấp
TC_UC07_004,Lọc ứng viên theo Kỹ năng đơn lẻ (ReactJS),Kiểm thử chức năng,Phân vùng tương đương_SK1,"CSDL có 10 ứng viên, 4 người có ReactJS",1. Nhập ReactJS vào ô Kỹ năng; 2. Bấm Áp dụng,Kỹ năng: ReactJS,"Hiển thị đúng 4 ứng viên có ReactJS, ẩn các ứng viên còn lại",P1 - Cao
TC_UC07_005,Lọc ứng viên theo Số năm kinh nghiệm (> 2 năm),Kiểm thử chức năng / Biên,Phân vùng tương đương_EX3,"CSDL có ứng viên 1, 2, 3, 5 năm exp",1. Chọn kinh nghiệm > 2 năm; 2. Bấm Áp dụng,Exp: > 2 năm,"Chỉ hiển thị ứng viên thỏa mãn, loại bỏ ứng viên 1 năm kinh nghiệm",P1 - Cao
TC_UC07_006,Lọc ứng viên theo Trạng thái hồ sơ (Mới),Kiểm thử chức năng,Phân vùng tương đương_ST1,CSDL có các trạng thái khác nhau,1. Chọn Trạng thái: Mới; 2. Bấm Áp dụng,Trạng thái: Mới,Bảng chỉ hiển thị các ứng viên có cột Trạng thái là Mới,P2 - Trung bình
TC_UC07_007,Kết hợp lọc đồng thời nhiều tiêu chí (Kỹ năng + Exp + Trạng thái),Kiểm thử chức năng / Tìm kiếm nâng cao,Bảng quyết định,CSDL có nhiều ứng viên,"1. Nhập Kỹ năng Node.js, Exp > 2 năm, Trạng thái Phù hợp; 2. Bấm Áp dụng","Node.js, > 2 năm, Phù hợp",Hiển thị các ứng viên thỏa mãn đồng thời cả 3 điều kiện logic AND,P1 - Cao
TC_UC07_008,Mở giao diện Chi tiết hồ sơ ứng viên từ danh sách,Kiểm thử chức năng,Kiểm thử Use Case,Bảng danh sách đang hiển thị,1. Click vào tên ứng viên Nguyễn Văn A; 2. Quan sát giao diện mở ra,Ứng viên: Nguyễn Văn A,"Mở modal/trang chi tiết đủ: Thông tin cá nhân, Kinh nghiệm, Học vấn, Kỹ năng, Chứng chỉ",P1 - Cao
TC_UC07_009,Tự động cập nhật trạng thái từ Mới sang Đã xem,Chuyển trạng thái,Chuyển trạng thái,Ứng viên đang ở trạng thái Mới,1. Click mở chi tiết hồ sơ; 2. Đóng và kiểm tra lại danh sách,Ứng viên trạng thái Mới,Trạng thái ứng viên tự động chuyển từ Mới sang Đã xem trong CSDL và UI,P2 - Trung bình
TC_UC07_010,Kích hoạt phân tích AI thành công với JD đã chọn,Kiểm thử chức năng / Trí tuệ nhân tạo,Kiểm thử Use Case,Mở chi tiết hồ sơ; Hệ thống có sẵn JD,1. Chọn JD Senior Backend; 2. Bấm Phân tích AI; 3. Chờ kết quả < 10s,JD: Senior Backend,"Hiển thị đủ 4 mục: Matching Score (%), Summary, Gap Analysis, Red Flags",P1 - Cao
TC_UC07_011,Kiểm tra tính chính xác của phần Gap Analysis,Kiểm thử chức năng / Logic,Kiểm thử Use Case,"JD yêu cầu AWS, PostgreSQL; CV ứng viên thiếu",1. Xem mục Gap Analysis sau khi AI phân tích,JD vs CV,"Liệt kê chính xác các kỹ năng ứng viên còn thiếu so với JD: AWS, PostgreSQL",P2 - Trung bình
TC_UC07_012,Kiểm tra cảnh báo rủi ro từ AI,Functional / Edge Case,Đoán lỗi,CV nhảy 4 công ty trong 1 năm,1. Bấm Phân tích AI; 2. Xem mục Red Flags,CV nhảy việc nhiều,Hiển thị cảnh báo rủi ro: Tần suất thay đổi công việc cao trong thời gian ngắn,P2 - Trung bình
TC_UC07_013,Nhấn nút Lưu kết quả phân tích AI,Kiểm thử chức năng / Lưu trữ CSDL,Kiểm thử Use Case,AI vừa trả kết quả phân tích,1. Nhấn nút Lưu kết quả; 2. Đóng và mở lại hồ sơ,Kết quả AI vừa chạy,"Thông báo Lưu thành công, dữ liệu điểm số và gap được lưu vào CSDL, mở lại vẫn còn",P1 - Cao
TC_UC07_014,Cập nhật thủ công trạng thái ứng viên sau phân tích,Kiểm thử chức năng,Chuyển trạng thái,Đang xem chi tiết hồ sơ sau phân tích,1. Chọn trạng thái Phỏng vấn; 2. Bấm Cập nhật trạng thái,Trạng thái: Phỏng vấn,"Thông báo Cập nhật thành công, trạng thái ứng viên đổi thành Phỏng vấn trong CSDL",P1 - Cao
TC_UC07_015,[3a] Xóa bộ lọc và reset danh sách ứng viên,Kiểm thử chức năng,Kiểm thử Use Case 3a,Bộ lọc đang áp dụng có kết quả lọc,1. Nhấn nút Xóa bộ lọc,N/A,"Các ô nhập lọc được reset về rỗng, bảng danh sách tải lại toàn bộ hồ sơ ban đầu",P2 - Trung bình
TC_UC07_016,[4a] Xem nhanh thông tin ứng viên bằng thao tác rê chuột,Kiểm thử giao diện / Chức năng,Kiểm thử Use Case 4a,Tại bảng danh sách ứng viên,1. Rê chuột vào avatar ứng viên trong 0.5s,Avatar ứng viên,"Hiển thị Quick Card nổi gồm: Tên, Chức danh hiện tại, Link CV gốc; rê ra ngoài tự ẩn",P2 - Trung bình
TC_UC07_017,[4a] Nhấp vào Link CV gốc từ Quick Card,Kiểm thử liên kết,Kiểm thử Use Case 4a,Quick Card đang hiển thị,1. Click vào link Link CV gốc trên popup,Link CV gốc,Mở tab mới hiển thị file CV gốc (PDF/Ảnh) lưu trong hệ thống,P3 - Thấp
TC_UC07_018,[8a] Xuất báo cáo cá nhân kết quả phân tích dạng PDF,Kiểm thử xuất dữ liệu,Kiểm thử Use Case 8a,Hồ sơ đã phân tích AI xong,1. Nhấn nút In / Xuất PDF; 2. Kiểm tra file tải về,Báo cáo cá nhân,Tải xuống file PDF gồm đầy đủ thông tin ứng viên và kết quả chấm điểm AI đẹp mắt,P2 - Trung bình
TC_UC07_019,[EX_01] Lọc không có kết quả phù hợp (Bộ lọc không thỏa mãn),Kiểm thử ngoại lệ,Kiểm thử Use Case EX_01 / Phân vùng tương đương_SK3,Tại bảng danh sách ứng viên,1. Nhập Kỹ năng = QuantumComputingLang_XYZ; 2. Bấm Áp dụng,Từ khóa không tồn tại,"Bảng rỗng, hiển thị thông báo: Không tìm thấy ứng viên phù hợp với tiêu chí đã chọn",P1 - Cao
TC_UC07_020,[EX_02] Bấm nút Phân tích AI nhưng chưa chọn JD,Kiểm thử xác thực / Ngoại lệ,Kiểm thử Use Case EX_02 / Phân vùng tương đương_JD2,"Chi tiết hồ sơ đang mở, ô chọn JD đang trống",1. Bấm nút Phân tích AI khi chưa chọn JD,Chưa chọn JD,"Báo lỗi: Vui lòng chọn JD (Mô tả công việc) để thực hiện so khớp, highlight dropdown JD",P1 - Cao
TC_UC07_021,[EX_02] Chọn nhanh JD ngay sau khi bị cảnh báo thiếu JD,Kiểm thử chức năng,Kiểm thử Use Case EX_02 Recovery,Dropdown JD đang highlight cảnh báo,1. Chọn 1 JD từ dropdown; 2. Bấm lại nút Phân tích AI,Chọn JD hợp lệ,"Thông báo lỗi biến mất, hệ thống bắt đầu tiến trình phân tích AI bình thường",P2 - Trung bình
TC_UC07_022,BVA Số năm kinh nghiệm: Giá trị cận biên dưới (1.9 năm),Kiểm thử biên,Phân tích giá trị biên,Bộ lọc: >= 2 năm; Ứng viên có 1.9 năm exp,1. Lọc >= 2 năm; 2. Kiểm tra danh sách,Exp: 1.9 năm,Ứng viên 1.9 năm kinh nghiệm không xuất hiện trong kết quả lọc,P2 - Trung bình
TC_UC07_023,BVA Số năm kinh nghiệm: Ngay tại biên chuẩn (2.0 năm),Kiểm thử biên,Phân tích giá trị biên,Bộ lọc: >= 2 năm; Ứng viên có đúng 2.0 năm exp,1. Lọc >= 2 năm; 2. Kiểm tra danh sách,Exp: 2.0 năm,Ứng viên 2.0 năm kinh nghiệm xuất hiện chính xác trong kết quả lọc,P1 - Cao
TC_UC07_024,BVA Matching Score: Điểm biên tuyệt đối 0%,Kiểm thử biên / Kết quả AI,Phân tích giá trị biên (0%),CV Kế toán viên so khớp JD AI Engineer,1. Bấm Phân tích AI; 2. Xem điểm số,CV lệch hoàn toàn JD,"Matching Score hiển thị 0%, Gap Analysis liệt kê toàn bộ kỹ năng của JD",P2 - Trung bình
TC_UC07_025,BVA Matching Score: Điểm biên tuyệt đối 100%,Kiểm thử biên / Kết quả AI,Phân tích giá trị biên (100%),CV khớp hoàn hảo mọi yêu cầu của JD,1. Bấm Phân tích AI; 2. Xem điểm số,CV chuẩn 100% JD,"Matching Score hiển thị 100%, Gap Analysis trống, Summary đánh giá hoàn toàn phù hợp",P2 - Trung bình
TC_UC07_026,BVA Phân trang: Tổng số hồ sơ đúng bằng kích thước 1 trang (10 hồ sơ),Kiểm thử biên,Phân tích giá trị biên (10 items),CSDL có đúng 10 hồ sơ,1. Vào danh sách ứng viên; 2. Quan sát phân trang,10 hồ sơ,"Hiển thị 10 hồ sơ trên trang 1, không có trang 2, nút Previous/Next đều disable",P3 - Thấp
TC_UC07_027,BVA Phân trang: Tổng số hồ sơ vượt biên 1 bản ghi (11 hồ sơ),Kiểm thử biên,Phân tích giá trị biên (11 items),CSDL có đúng 11 hồ sơ,1. Xem trang 1; 2. Bấm sang trang 2,11 hồ sơ,"Trang 1 có 10 hồ sơ, kích hoạt số trang 2; trang 2 có đúng 1 hồ sơ thứ 11",P2 - Trung bình
TC_UC07_028,Kiểm tra Tiền điều kiện: CSDL hoàn toàn chưa có hồ sơ nào (0 hồ sơ),Kiểm thử biên / Tiền điều kiện,Tiền điều kiện,Database rỗng chưa có hồ sơ,1. Truy cập Danh sách ứng viên,0 candidate in DB,"Không bị lỗi 500, hiển thị Empty State kèm thông báo mời thu thập hồ sơ mới",P2 - Trung bình
TC_UC07_029,Kiểm tra Tiền điều kiện: Hệ thống chưa có bất kỳ JD nào được tạo,Kiểm thử tiền điều kiện / Ngoại lệ,Tiền điều kiện,Hệ thống chưa có JD nào,1. Mở chi tiết hồ sơ; 2. Kiểm tra ô chọn JD,0 JD in DB,"Dropdown báo Chưa có JD nào trong hệ thống, nút Phân tích nhắc nhở tạo JD trước",P2 - Trung bình
TC_UC07_030,JD được chọn bị xóa hoặc ngừng kích hoạt bởi chuyên viên khác,Kiểm thử xử lý đồng thời,Đoán lỗi,JD bị xóa trong lúc đang xem hồ sơ,1. Chọn JD; 2. Quản trị viên xóa JD; 3. Bấm Phân tích AI,JD vừa bị xóa,"Cảnh báo: Mô tả công việc này đã bị xóa hoặc ngừng áp dụng, yêu cầu chọn JD khác",P2 - Trung bình
TC_UC07_031,Kiểm tra an toàn bảo mật: Chống SQL Injection trong Filter Bar,Kiểm thử bảo mật,Đoán lỗi / Bảo mật,Thanh lọc tìm kiếm,1. Nhập Kỹ năng: ' OR '1'='1' --; 2. Bấm Áp dụng,' OR '1'='1' --,"Hệ thống xử lý an toàn qua Parameterized query, không lộ lỗi DB, trả về EX_01",P1 - Cao
TC_UC07_032,Kiểm tra an toàn bảo mật: Chống tấn công XSS trong ô tìm kiếm,Kiểm thử bảo mật,Đoán lỗi / Bảo mật,Thanh lọc tìm kiếm,1. Nhập: <script>alert('XSS')</script>; 2. Bấm Áp dụng,<script>alert('XSS')</script>,"Chuỗi được escape thành &lt;script&gt;, không bị thực thi mã javascript",P1 - Cao
TC_UC07_033,Nhấn nút Phân tích AI liên tục nhiều lần,Kiểm thử hiệu năng / Xử lý đồng thời,Đoán lỗi,Chi tiết hồ sơ đang mở,1. Click liên tiếp 3-4 lần thật nhanh vào nút Phân tích AI,Spam click,"Nút Phân tích AI lập tức disable sau click đầu, chỉ gửi 1 request lên server AI",P2 - Trung bình
TC_UC07_034,Phân tích AI bị timeout quá 10 giây,Kiểm thử hiệu năng / Độ tin cậy,Phân tích giá trị biên (T > 10s),Server AI phản hồi trễ > 10s,1. Bấm Phân tích AI; 2. Đếm thời gian > 10s,Slow AI response,"Sau đúng 10 giây ngắt request, thông báo Kết nối máy chủ AI gián đoạn, cho thử lại",P1 - Cao
TC_UC07_035,Xuất file PDF khi đang trong quá trình AI phân tích,Kiểm thử trạng thái giao diện,Đoán lỗi,AI đang trong tiến trình phân tích,1. Quan sát nút In/Xuất PDF trong lúc AI đang loading,AI loading state,Nút In/Xuất PDF bị ẩn hoặc disabled cho đến khi có kết quả hoàn chỉnh,P3 - Thấp
