Mã ca kiểm thử,Tên ca kiểm thử,Loại kiểm thử,Kỹ thuật hộp đen áp dụng,Tiền điều kiện,Các bước thực hiện,Dữ liệu thử nghiệm,Kết quả mong đợi,Mức độ ưu tiên
TC_UC06_011,Tải file CV bằng thao tác kéo thả (Drag & Drop),Kiểm thử giao diện / Chức năng,Kiểm thử Use Case,Tại tab Upload CV,1. Kéo file CV.pdf từ máy tính vào Drop Zone; 2. Nhả chuột,CV.pdf,"Vùng kéo thả đổi hiệu ứng drag-over, tự động tiếp nhận file và bắt đầu xử lý",P2 - Trung bình
TC_UC06_012,Chọn file CV bằng cách nhấn chuột mở hộp thoại duyệt file,Kiểm thử giao diện / Chức năng,Kiểm thử Use Case,Tại tab Upload CV,1. Nhấn nút Chọn tệp; 2. Chọn file từ File Explorer; 3. Nhấn Open,CV.pdf,"Hộp thoại mở đúng định dạng cho phép, chọn file và tiếp nhận xử lý",P2 - Trung bình
TC_UC06_013,Upload file dung lượng nhỏ nhất hợp lệ (1 KB),Kiểm thử biên,Phân tích giá trị biên (Biên dưới),Tại tab Upload CV,1. Chọn file cv_minimal.pdf dung lượng 1 KB; 2. Tải lên,cv_minimal.pdf (1 KB),"Hệ thống chấp nhận file, trích xuất dữ liệu bình thường, không báo lỗi",P2 - Trung bình
TC_UC06_014,Upload file dung lượng cận biên trên hợp lệ (9.9 MB),Kiểm thử biên,Phân tích giá trị biên,Tại tab Upload CV,1. Chọn file cv_large.pdf dung lượng 9.9 MB; 2. Tải lên,cv_large.pdf (9.9 MB),"Upload thành công, tiến trình OCR xử lý bình thường",P1 - Cao
TC_UC06_015,Upload file dung lượng chính xác bằng ngưỡng tối đa (10.0 MB),Kiểm thử biên,Phân tích giá trị biên (Biên trên),Tại tab Upload CV,"1. Chọn file PDF dung lượng đúng 10,485,760 bytes (10.0 MB); 2. Tải lên",File đúng 10.0 MB,"Hệ thống chấp nhận file, không kích hoạt lỗi EX_01",P1 - Cao
TC_UC06_016,Upload file dung lượng vượt biên trên tối thiểu (10.01 MB),Kiểm thử biên / Ca sai,Phân tích giá trị biên (Vượt biên),Tại tab Upload CV,"1. Chọn file cv_over.pdf dung lượng 10.01 MB (10,500,000 bytes); 2. Tải lên",cv_over.pdf (10.01 MB),"Chặn ngay tại Client, báo lỗi EX_01: Định dạng file không hỗ trợ hoặc dung lượng quá lớn",P1 - Cao
TC_UC06_017,Upload file dung lượng cực lớn (50 MB),Kiểm thử biên / Ca sai,Phân vùng tương đương_S3,Tại tab Upload CV,1. Chọn file document_50MB.pdf; 2. Tải lên,document_50MB.pdf (50 MB),"Lập tức hiển thị lỗi EX_01, không bị treo ứng dụng, yêu cầu chọn file khác",P2 - Trung bình
TC_UC06_018,Upload file rỗng dung lượng 0 Byte,Kiểm thử biên / Ca sai,Phân tích giá trị biên (Điểm 0),Tại tab Upload CV,1. Chọn file empty.pdf dung lượng 0 Byte; 2. Tải lên,empty.pdf (0 Byte),"Báo lỗi file không hợp lệ hoặc rỗng, yêu cầu chọn file khác",P2 - Trung bình
TC_UC06_019,Upload file tài liệu định dạng không hỗ trợ (.txt / .xlsx),Kiểm thử ca sai,Phân vùng tương đương_F5,Tại tab Upload CV,1. Chọn file cv.txt hoặc bang_luong.xlsx; 2. Tải lên,cv.txt / bang_luong.xlsx,"Từ chối nhận file, báo lỗi EX_01: Định dạng file không hỗ trợ hoặc dung lượng quá lớn",P2 - Trung bình
TC_UC06_020,Upload file thực thi nguy hại (.exe / .bat / .sh),Kiểm thử bảo mật,Phân vùng tương đương_F4,Tại tab Upload CV,1. Chọn file malware.exe hoặc test.bat; 2. Tải lên,malware.exe,"Chặn tuyệt đối từ hộp thoại file và drop zone, hiển thị lỗi EX_01",P1 - Cao
TC_UC06_021,Upload file giả mạo định dạng kép (candidate_cv.pdf.exe),Kiểm thử bảo mật,Đoán lỗi,Tại tab Upload CV,1. Đổi tên file exe thành candidate_cv.pdf.exe; 2. Tải lên,candidate_cv.pdf.exe,"Nhận diện đúng đuôi file cuối là .exe, từ chối tải lên và cảnh báo bảo mật",P1 - Cao
TC_UC06_022,Tải lên file không có phần mở rộng,Negative / Edge Case,Phân vùng tương đương_F6,Tại tab Upload CV,1. Chọn file my_resume không có đuôi; 2. Tải lên,my_resume,"Hệ thống từ chối nhận file, báo lỗi định dạng không hỗ trợ",P3 - Thấp
TC_UC06_023,[EX_01] Hiển thị đúng câu thông báo lỗi khi file vượt 10MB,Kiểm thử giao diện / Nội dung,Kiểm thử Use Case EX_01,Tại tab Upload CV,1. Tải lên file 12 MB; 2. Đọc chuỗi thông báo lỗi,File 12 MB,Hiển thị chính xác chuỗi: Định dạng file không hỗ trợ hoặc dung lượng quá lớn,P1 - Cao
TC_UC06_024,[EX_01] Hiển thị đúng câu thông báo lỗi khi tải file .zip,Kiểm thử ca sai / Chức năng,Kiểm thử Use Case EX_01,Tại tab Upload CV,1. Tải lên file archive_cv.zip; 2. Đọc thông báo lỗi,archive_cv.zip,Hiển thị đúng chuỗi: Định dạng file không hỗ trợ hoặc dung lượng quá lớn,P2 - Trung bình
TC_UC06_025,[EX_02] Quá trình AI phân tích DOM bị Timeout quá 10 giây,Kiểm thử hiệu năng / Ngoại lệ,Kiểm thử Use Case EX_02 / Phân tích giá trị biên,Mock server AI phản hồi trễ > 10s,"1. Tại LinkedIn, bấm Quét; 2. Đếm thời gian quá 10s",LinkedIn profile URL,"Tại giây thứ 10 ngắt request, báo lỗi: Kết nối đến máy chủ AI bị gián đoạn, mở Form trống cho nhập tay",P1 - Cao
TC_UC06_026,[EX_02] Quá trình OCR/LLM xử lý file CV bị Timeout quá 10 giây,Kiểm thử hiệu năng / Ngoại lệ,Kiểm thử Use Case EX_02,Server OCR/LLM phản hồi chậm > 10s,1. Upload CV; 2. Đếm thời gian quá 10s,CV.pdf,"Hiển thị: Kết nối đến máy chủ AI bị gián đoạn, mở Form trống cho nhập tay",P1 - Cao
TC_UC06_027,[EX_02] Lưu hồ sơ từ Form trống sau khi bị gián đoạn AI,Kiểm thử chức năng / Toàn trình,Kiểm thử Use Case EX_02 Fallback,Form trống mở ra sau lỗi timeout EX_02,"1. Tự gõ Họ tên, Email, SĐT, Kỹ năng vào Form trống; 2. Bấm Lưu hồ sơ",Dữ liệu gõ tay,"Lưu dữ liệu nhập tay thành công vào CSDL, hiển thị thông báo Lưu hồ sơ thành công",P2 - Trung bình
TC_UC06_028,[EX_03] Nhấn nút Quét trên website không được hỗ trợ,Kiểm thử ngoại lệ,Kiểm thử Use Case EX_03 / Phân vùng tương đương_W4,Mở tab vnexpress.net hoặc facebook.com,1. Mở Extension; 2. Nhấn nút Quét,vnexpress.net,Hiển thị đúng chuỗi: Extension chưa hỗ trợ cấu trúc trang web này. Vui lòng nhập tay hoặc Upload file,P1 - Cao
TC_UC06_029,[EX_03] Nhấn nút Quét trên domain LinkedIn nhưng sai trang,Kiểm thử biên / Ngoại lệ,Phân vùng tương đương_W5,Mở trang linkedin.com/feed/,1. Mở Extension; 2. Nhấn nút Quét,linkedin.com/feed/,"Cảnh báo trang hiện tại không phải profile ứng viên, đề xuất vào đúng trang hoặc upload CV",P2 - Trung bình
TC_UC06_030,Thao tác khi chưa đăng nhập Extension,Kiểm thử bảo mật / Chức năng,Phân vùng tương đương_A2,Chưa đăng nhập Extension,1. Mở Extension; 2. Bấm Quét hoặc tab Upload CV,N/A,"Khóa tính năng, chuyển hướng về màn hình Đăng nhập kèm thông báo yêu cầu đăng nhập",P1 - Cao
TC_UC06_031,Phiên đăng nhập hết hạn trong lúc lưu hồ sơ,Kiểm thử bảo mật / Phiên làm việc,Phân vùng tương đương_A3,"Form Preview đang mở, token hết hạn (401)",1. Bấm Lưu hồ sơ,N/A,"Báo lỗi phiên đăng nhập hết hạn, giữ nguyên dữ liệu trên Form, mở popup login lại",P2 - Trung bình
TC_UC06_032,Mất kết nối Internet hoàn toàn trước khi Quét,Kiểm thử mạng / Độ tin cậy,Phân vùng tương đương_N2,Thiết bị ngắt mạng hoàn toàn,1. Mở Extension; 2. Bấm Quét,N/A,"Phát hiện offline ngay lập tức, thông báo: Không có kết nối Internet",P2 - Trung bình
TC_UC06_033,Mất kết nối Internet đột ngột trong khi đang nhấn Lưu hồ sơ,Kiểm thử mạng / Toàn vẹn dữ liệu,Phân vùng tương đương_N3 / Đoán lỗi,Form Preview đang mở,1. Bấm Lưu hồ sơ; 2. Ngắt mạng đúng lúc gửi request,N/A,"Báo lưu thất bại do mất mạng, Form giữ nguyên dữ liệu không bị đóng/xóa trắng để người dùng retry",P2 - Trung bình
TC_UC06_034,Tải lên tệp PDF bị khóa mật khẩu,Negative / Security,Đoán lỗi,Tại tab Upload CV,1. Chọn file cv_encrypted.pdf có mật khẩu; 2. Tải lên,cv_encrypted.pdf,"Bắt được lỗi mã hóa, thông báo: Tệp tin được bảo vệ bằng mật khẩu, vui lòng gỡ mật khẩu hoặc nhập tay",P2 - Trung bình
TC_UC06_035,Tải lên tệp CV toàn ảnh trắng hoặc chữ quá mờ không thể OCR,Negative / Edge Case,Đoán lỗi,Tại tab Upload CV,1. Chọn file ảnh scan trắng tinh hoặc đen thui; 2. Tải lên,blank_scan.jpg,"Thông báo không thể nhận diện nội dung văn bản từ tệp, mở Form trống cho nhập tay",P3 - Thấp
TC_UC06_036,Dữ liệu trên web hoặc trong CV chứa mã độc tấn công XSS,Kiểm thử bảo mật,Đoán lỗi / Bảo mật,Trang web hoặc CV chứa payload XSS,1. Quét profile có tên: <script>alert(1)</script>; 2. Xem Form và Lưu; 3. Xem Dashboard,<script>alert(1)</script>,"Chuỗi được escape/encode an toàn thành &lt;script&gt;, không bị thực thi script",P1 - Cao
TC_UC06_037,Trích xuất ứng viên đã tồn tại trong CSDL (Trùng Email/SĐT),Kiểm thử chức năng / Nghiệp vụ,Đoán lỗi,Email nguyenvana@gmail.com đã có trong DB,1. Bấm Lưu hồ sơ cho ứng viên trùng email,nguyenvana@gmail.com,"Cảnh báo ứng viên đã tồn tại, hiển thị tùy chọn: Cập nhật thông tin mới hoặc Hủy",P2 - Trung bình
TC_UC06_038,Kéo thả đồng thời nhiều file (> 1 file) vào Drag & Drop Zone,UI/UX / Boundary,Đoán lỗi,Tại tab Upload CV,1. Chọn cùng lúc 3 file CV; 2. Kéo thả vào Drop Zone,3 file CV cùng lúc,"Từ chối hoặc chỉ nhận file đầu tiên, thông báo: Hệ thống chỉ hỗ trợ xử lý 1 file CV mỗi lần",P3 - Thấp
