Mã ca kiểm thử,Tên ca kiểm thử,Loại kiểm thử,Kỹ thuật hộp đen áp dụng,Tiền điều kiện,Các bước thực hiện,Dữ liệu thử nghiệm,Kết quả mong đợi,Mức độ ưu tiên
TC_UC08_011,[3a] Thêm link GitHub thủ công hợp lệ,Kiểm thử luồng thay thế 3a,Kiểm thử Use Case 3a,Tại khối kiểm chứng hồ sơ,1. Dán link https://github.com/pvduy2305; 2. Bấm Quét link,Link GitHub cá nhân,"Agent quét repo công khai, hiển thị thống kê commit và ngôn ngữ sử dụng nhiều nhất",P2 - Trung bình
TC_UC08_012,[3a] Dán link thủ công không đúng định dạng hoặc sai domain,Kiểm thử ca sai,Phân vùng tương đương_URL3,Tại ô dán link thủ công,1. Dán https://youtube.com/watch?v=123; 2. Bấm Quét link,Link không hợp lệ,Báo lỗi: Đường dẫn không hợp lệ. Vui lòng chỉ dán liên kết từ LinkedIn hoặc GitHub,P2 - Trung bình
TC_UC08_013,[5a] Không tìm thấy dấu vết số công khai,Kiểm thử luồng thay thế 5a,Kiểm thử Use Case 5a,Ứng viên không có profile mạng xã hội công khai,1. Nhấn Kiểm chứng; 2. Chờ Agent quét xong,Email/SĐT không có dấu vết,Hiển thị: Không tìm thấy dấu vết số công khai của ứng viên này kèm 2 nút Bỏ qua và Thử lại,P2 - Trung bình
TC_UC08_014,[5a] Người dùng chọn Bỏ qua khi không tìm thấy dữ liệu,Kiểm thử chức năng,Kiểm thử Use Case 5a,Thông báo 5a đang hiển thị,1. Nhấn nút Bỏ qua,N/A,"Trạng thái ghi nhận Không tìm thấy, giao diện trở về trạng thái bình thường",P3 - Thấp
TC_UC08_015,[5a] Người dùng chọn Thử lại với từ khóa khác,Kiểm thử chức năng,Kiểm thử Use Case 5a,Thông báo 5a đang hiển thị,1. Bấm Thử lại với từ khóa khác; 2. Nhập thêm tên công ty phụ; 3. Bấm Quét lại,Từ khóa bổ sung,Agent tạo truy vấn mới kết hợp từ khóa vừa nhập và kích hoạt lại tiến trình tìm kiếm,P2 - Trung bình
TC_UC08_016,[EX_01] Hệ thống bị chặn bởi Captcha từ Google/LinkedIn,Kiểm thử ngoại lệ,Kiểm thử Use Case EX_01,Mock Google/LinkedIn trả về Cloudflare/reCAPTCHA,1. Nhấn nút Kiểm chứng,Bị Captcha chặn,"Agent tạm dừng, hiển thị thông báo: Hệ thống bị chặn bởi Captcha. Vui lòng xác thực thủ công",P1 - Cao
TC_UC08_017,[EX_01] Tiếp tục quy trình sau khi người dùng giải quyết xong Captcha,Kiểm thử khôi phục lỗi,Chuyển trạng thái,Captcha đã được giải thủ công,1. Bấm nút Tiếp tục kiểm tra,Đã giải Captcha,Agent tiếp tục quét dữ liệu từ thời điểm ngắt quãng và chuyển sang bước đối chiếu dữ liệu,P2 - Trung bình
TC_UC08_018,[EX_02] Mất kết nối Internet khi Agent đang quét dữ liệu,Kiểm thử mạng / Độ tin cậy,Kiểm thử Use Case EX_02 / Phân vùng tương đương_N2,Agent đang ở trạng thái Đang kiểm tra...,1. Ngắt kết nối mạng Wifi/Ethernet,Mất mạng đột ngột,"Dừng quét ngầm, giải phóng tab ẩn, báo lỗi: Lỗi kết nối. Vui lòng kiểm tra mạng và thử lại",P1 - Cao
TC_UC08_019,[EX_02] Thử lại kiểm chứng sau khi mạng Internet có trở lại,Kiểm thử khôi phục lỗi,Kiểm thử Use Case EX_02,Mạng Internet đã được kết nối lại,1. Nhấn nút Thử lại,Mạng online,Tái kích hoạt Agent và thực hiện quy trình kiểm chứng thành công,P2 - Trung bình
TC_UC08_020,[EX_03] Hồ sơ thiếu cả Email VÀ Số điện thoại (Chỉ có Họ tên),Kiểm thử ngoại lệ,Kiểm thử Use Case EX_03 / Phân vùng tương đương_ID4,"Hồ sơ chỉ có Họ tên, cả Email và SĐT đều trống",1. Nhấn nút Kiểm chứng,Thiếu cả Email và SĐT,"Chặn không kích hoạt Agent, báo lỗi: Không đủ thông tin định danh để thực hiện kiểm chứng",P1 - Cao
TC_UC08_021,[EX_03] Hồ sơ có Email nhưng để trống Số điện thoại,Kiểm thử biên,Phân tích giá trị biên (1 thuộc tính),"Hồ sơ có Họ tên và Email, SĐT để trống",1. Nhấn nút Kiểm chứng,"Có Email, không SĐT","Không kích hoạt lỗi EX_03, hệ thống tiến hành kiểm chứng bình thường",P1 - Cao
TC_UC08_022,[EX_03] Hồ sơ có Số điện thoại nhưng để trống Email,Kiểm thử biên,Phân tích giá trị biên (1 thuộc tính),"Hồ sơ có Họ tên và SĐT, Email để trống",1. Nhấn nút Kiểm chứng,"Có SĐT, không Email","Không kích hoạt lỗi EX_03, hệ thống tiến hành kiểm chứng bình thường",P1 - Cao
TC_UC08_023,BVA Độ lệch thời gian: Lệch 1 tháng (Sai số làm tròn hợp lệ),Kiểm thử biên,Phân tích giá trị biên (1 tháng),CV: 01/2023-12/2023; LinkedIn: 02/2023-12/2023,1. Xem kết quả đối chiếu,Lệch 1 tháng,"Hệ thống coi đây là sai lệch nhỏ hợp lệ, không gắn cờ đỏ rủi ro",P2 - Trung bình
TC_UC08_024,BVA Độ lệch thời gian: Lệch cận biên cảnh báo (5 tháng),Kiểm thử biên,Phân tích giá trị biên (5 tháng),CV kết thúc 12/2023; LinkedIn kết thúc 07/2023,1. Xem kết quả đối chiếu,Lệch 5 tháng,"Hiển thị lưu ý thông tin màu vàng Cảnh báo, chưa kích hoạt cảnh báo rủi ro nghiêm trọng",P2 - Trung bình
TC_UC08_025,BVA Độ lệch thời gian: Đúng ngưỡng biên cảnh báo (6 tháng),Kiểm thử biên,Phân tích giá trị biên (Biên 6 tháng),CV kết thúc 12/2023; LinkedIn kết thúc 06/2023,1. Xem kết quả đối chiếu,Đúng 6 tháng,Kích hoạt cảnh báo: Thời gian làm việc tại công ty kết thúc sớm hơn 6 tháng so với CV,P1 - Cao
TC_UC08_026,BVA Độ lệch thời gian: Trùng lặp thời gian làm việc bất khả thi,Kiểm thử trường hợp biên / Logic,Đoán lỗi,CV ghi Fulltime Cty A (2022-2024); LinkedIn ghi Fulltime Cty B (2022-2024),1. Xem kết quả đối chiếu,Trùng lặp 2 cty,Xuất cảnh báo: Trùng lặp thời gian làm việc toàn thời gian tại 2 tổ chức khác nhau,P2 - Trung bình
TC_UC08_027,Kiểm tra số lượng Commits và hoạt động thực tế trên GitHub,Kiểm thử chức năng,Kiểm thử Use Case,"Tài khoản GitHub 0 repos tự tạo, 0 contributions",1. Xem phân tích GitHub,0 contribution,Ghi nhận: Tài khoản GitHub không có hoạt động đóng góp mã nguồn công khai trong 12 tháng qua,P2 - Trung bình
TC_UC08_028,Nhận diện dự án Fork (Sao chép) so với dự án tự phát triển,Kiểm thử chức năng / Logic,Đoán lỗi,Repo trên GitHub là Fork từ thư viện mã nguồn mở,1. Xem phân tích repo,Repo Fork,"Gắn nhãn rõ ràng: Forked from [tác giả gốc], không tính điểm đóng góp nguyên bản cho ứng viên",P2 - Trung bình
TC_UC08_029,Đối chiếu ngôn ngữ lập trình thống kê từ GitHub với CV,Kiểm thử phân tích dữ liệu,Đối chiếu chéo,CV ghi thế mạnh Python; GitHub 95% dòng code là PHP,1. Xem biểu đồ ngôn ngữ GitHub,Python vs PHP,"Báo cáo hiển thị biểu đồ ngôn ngữ thực tế (95% PHP, 5% Python) để chuyên viên phỏng vấn sâu",P2 - Trung bình
TC_UC08_030,Chống tấn công XSS qua ô Thêm link thủ công,Kiểm thử bảo mật,Đoán lỗi / Bảo mật,Ô nhập link thủ công,1. Dán javascript:alert(1) hoặc <script>alert(1)</script>; 2. Bấm Quét link,Payload XSS,"Từ chối URL, không thực thi script, mã hóa chuỗi hiển thị an toàn",P1 - Cao
TC_UC08_031,Nhấn nút Kiểm chứng liên tục nhiều lần,Kiểm thử hiệu năng / Xử lý đồng thời,Đoán lỗi,Giao diện chi tiết hồ sơ,1. Bấm liên tiếp 4-5 lần vào nút Kiểm chứng,Spam click,"Nút lập tức disable ngay từ click đầu tiên, chỉ duy nhất 1 background task được sinh ra",P2 - Trung bình
TC_UC08_032,Đóng tab trình duyệt trong khi Agent đang chạy ngầm,Kiểm thử độ tin cậy tiến trình ngầm,Đoán lỗi,Agent đang ở trạng thái Đang kiểm tra...,1. Đóng tab trình duyệt; 2. Mở lại hồ sơ sau 1 phút,Đóng tab,Background service worker vẫn hoàn tất và lưu CSDL; khi mở lại hồ sơ hiển thị báo cáo,P2 - Trung bình
TC_UC08_033,Tránh nhận diện sai người trùng tên,Kiểm thử độ chính xác thuật toán,Đoán lỗi,Ứng viên tên phổ biến Nguyễn Văn Tuấn,1. Nhấn nút Kiểm chứng,Tên rất phổ biến,"Agent bắt buộc ghép Tên + Cty cũ + Email/SĐT, không liên kết nhầm profile người lạ trùng tên",P1 - Cao
TC_UC08_034,Lưu trữ lịch sử các lần kiểm chứng (Audit Log & History),Kiểm thử tính toàn vẹn dữ liệu,Kiểm thử Use Case,Hồ sơ đã được kiểm chứng,1. Xem mục Lịch sử xác thực trong hồ sơ,Log kiểm tra,"CSDL lưu lại thời điểm, người thực hiện, nguồn tìm thấy và trạng thái duyệt chi tiết",P2 - Trung bình
TC_UC08_035,URL mạng xã hội trên báo cáo có thuộc tính rel=noopener noreferrer,Kiểm thử bảo mật,Bảo mật,Báo cáo kiểm chứng có link mạng xã hội,1. Kiểm tra mã HTML thẻ link trên báo cáo,Link ngoại,Thẻ a có target=_blank bắt buộc có rel=noopener noreferrer chống tấn công Tabnabbing,P2 - Trung bình
TC_UC08_036,Dán link LinkedIn có đuôi tham số theo dõi,Kiểm thử biên / Khả năng sử dụng,Đoán lỗi,Link có tracking utm_source...,1. Dán link chứa utm_source; 2. Bấm Quét link,Link có params,"Hệ thống tự động lược bỏ tham số tracking thừa, chỉ lưu URL gốc sạch của profile",P3 - Thấp
TC_UC08_037,Kiểm chứng lại hồ sơ đã từng được xác thực,Kiểm thử chức năng,Chuyển trạng thái,Hồ sơ đã ở trạng thái Đã xác thực,1. Bấm nút Kiểm chứng lại,Kiểm chứng lại,Hệ thống chạy lại Agent và cho phép cập nhật báo cáo mới nhất,P3 - Thấp
TC_UC08_038,Thay đổi quyết định từ Gắn cờ rủi ro sang Xác thực uy tín,Kiểm thử chuyển trạng thái,Chuyển trạng thái,Hồ sơ đang bị gắn cờ rủi ro,1. Chọn lại Xác thực uy tín kèm ghi chú giải trình sau phỏng vấn,Giải trình hợp lý,"Trạng thái chuyển thành Đã xác thực, lưu vết ghi chú lý do gỡ cờ rủi ro trong log hệ thống",P2 - Trung bình
