Mã ca kiểm thử,Tên ca kiểm thử,Loại kiểm thử,Kỹ thuật áp dụng,Tiền điều kiện,Các bước thực hiện,Dữ liệu thử nghiệm,Kết quả mong đợi,Mức độ ưu tiên
TC_UC07_029,Kiểm tra Tiền điều kiện: Hệ thống chưa có bất kỳ JD nào được tạo,Kiểm thử tiền điều kiện / Ngoại lệ,Tiền điều kiện,Hệ thống chưa có JD nào,1. Mở chi tiết hồ sơ; 2. Kiểm tra ô chọn JD,0 JD in DB,"Dropdown báo Chưa có JD nào trong hệ thống, nút Phân tích nhắc nhở tạo JD trước",P2 - Trung bình
TC_UC07_030,JD được chọn bị xóa hoặc ngừng kích hoạt bởi chuyên viên khác,Kiểm thử xử lý đồng thời,Đoán lỗi,JD bị xóa trong lúc đang xem hồ sơ,1. Chọn JD; 2. Quản trị viên xóa JD; 3. Bấm Phân tích AI,JD vừa bị xóa,"Cảnh báo: Mô tả công việc này đã bị xóa hoặc ngừng áp dụng, yêu cầu chọn JD khác",P2 - Trung bình
TC_UC07_031,Kiểm tra an toàn bảo mật: Chống SQL Injection trong Filter Bar,Kiểm thử bảo mật,Đoán lỗi / Bảo mật,Thanh lọc tìm kiếm,1. Nhập Kỹ năng: ' OR '1'='1' --; 2. Bấm Áp dụng,' OR '1'='1' --,"Hệ thống xử lý an toàn qua Parameterized query, không lộ lỗi DB, trả về EX_01",P1 - Cao
TC_UC07_032,Kiểm tra an toàn bảo mật: Chống tấn công XSS trong ô tìm kiếm,Kiểm thử bảo mật,Đoán lỗi / Bảo mật,Thanh lọc tìm kiếm,1. Nhập: <script>alert('XSS')</script>; 2. Bấm Áp dụng,<script>alert('XSS')</script>,"Chuỗi được escape thành &lt;script&gt;, không bị thực thi mã javascript",P1 - Cao
TC_UC07_033,Nhấn nút Phân tích AI liên tục nhiều lần,Kiểm thử hiệu năng / Xử lý đồng thời,Đoán lỗi,Chi tiết hồ sơ đang mở,1. Click liên tiếp 3-4 lần thật nhanh vào nút Phân tích AI,Spam click,"Nút Phân tích AI lập tức disable sau click đầu, chỉ gửi 1 request lên server AI",P2 - Trung bình
TC_UC07_034,Phân tích AI bị timeout quá 10 giây,Kiểm thử hiệu năng / Độ tin cậy,Phân tích giá trị biên (T > 10s),Server AI phản hồi trễ > 10s,1. Bấm Phân tích AI; 2. Đếm thời gian > 10s,Slow AI response,"Sau đúng 10 giây ngắt request, thông báo Kết nối máy chủ AI gián đoạn, cho thử lại",P1 - Cao
TC_UC07_035,Xuất file PDF khi đang trong quá trình AI phân tích,Kiểm thử trạng thái giao diện,Đoán lỗi,AI đang trong tiến trình phân tích,1. Quan sát nút In/Xuất PDF trong lúc AI đang loading,AI loading state,Nút In/Xuất PDF bị ẩn hoặc disabled cho đến khi có kết quả hoàn chỉnh,P3 - Thấp
TC_UC07_036,"Tìm kiếm không phân biệt chữ hoa, chữ thường",Kiểm thử chức năng / Khả năng sử dụng,Phân vùng tương đương,Thanh tìm kiếm,1. Tìm reactjs; 2. Tìm REACTJS hoặc ReactJs,reactjs vs REACTJS,Cả 2 lần tìm kiếm đều trả về kết quả giống hệt nhau,P2 - Trung bình
TC_UC07_037,Tìm kiếm kỹ năng có chứa khoảng trắng thừa,Kiểm thử biên / Khả năng sử dụng,Đoán lỗi,Thanh tìm kiếm,"1. Nhập ""  Node.js  "" vào ô tìm kiếm; 2. Bấm Áp dụng","""  Node.js  """,Hệ thống tự động trim khoảng trắng thừa và tìm chính xác từ khóa Node.js,P3 - Thấp
TC_UC07_038,Đăng xuất tài khoản khi đang mở chi tiết hồ sơ,Kiểm thử bảo mật / Phiên làm việc,Bảo mật,Đang mở chi tiết hồ sơ ở Tab 1,1. Sang Tab 2 bấm Đăng xuất; 2. Về Tab 1 bấm Phân tích AI,Session expired (401),"Hệ thống phát hiện phiên làm việc kết thúc, lập tức đóng modal và chuyển về Đăng nhập",P2 - Trung bình
